13820,Novice,115878,2020
13554,Novice,113222,2020
13930,Novice,117095,2020
14258,Novice,120372,2020
14263,Novice,120409,2020
17314,JuniorVarsity,145010,2021
17082,JuniorVarsity,142806,2021
17850,JuniorVarsity,150066,2021
18633,JuniorVarsity,158601,2021
19031,JuniorVarsity,163379,2021
19299,JuniorVarsity,166462,2021
24806,Varsity,221851,2023
24946,Varsity,223184,2023
24758,Varsity,221304,2023
25724,Varsity,232904,2023
25329,Varsity,228430,2023
26290,Varsity,239760,2023
26551,Varsity,242828,2023
21281,Varsity,183907,2022
21611,Varsity,187561,2022
22057,Varsity,192394,2022
22477,Varsity,197390,2022
22519,Varsity,198072,2022
